NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;WATERING CAN;ARROSOIR;GIESSKANNE;REGADERA;ANNAFFIATOIO;REGADOR;ЛЕЙКА;KONEWKA;ジョウロ;물뿌리개;洒水壶 ;噴壺;
;FREE WATERING CAN,#RIGHT NEXT TO YOUR HOUSE!;ARROSOIR GRATUIT,#IL T'ATTEND PRÈS DE TA MAISON !;EINE GIESSKANNE,#EINFACH SO BEIM HAUS!;¡REGADERA GRATIS, JUSTO AL#LADITO DE TU CASA!;UN ANNAFFIATOIO GRATIS,#PROPRIO VICINO ALLA TUA CASA!;UM REGADOR GRÁTIS,#BEM DO LADO DA SUA CASA!;БЕСПЛАТНАЯ ЛЕЙКА#ПРЯМО ВОЗЛЕ ТВОЕГО ДОМА!;DARMOWA KONEWKA,#TUŻ OBOK TWOJEGO DOMU!;みずのあふれる ジョウロは#いつも あなたの そばに;자유롭게 사용가능한 물뿌리개입니다.#집 바로 옆에 있어요!;不用钱的洒水壶，#就放在你家旁边！;免費的噴壺,#就在你房子旁邊!;
;SWORD THROWER;LANCEUR D'ÉPÉE;SCHWERT-WERFER;LANZAESPADAS;LANCIA-SPADE;LANÇA-ESPADAS;БРОСАТЕЛЬ МЕЧЕЙ;MIOTACZ MIECZY;おたすけグローブ;투검 장갑;飞剑投手;擲劍者;
;FOR THOSE HARD TO REACH TARGETS.;POUR LES CIBLES LES PLUS#DIFFICILES À ATTEINDRE !;FÜR SCHWER ERREICHBARE ZIELE.;PARA OBJETIVOS DIFÍCILES DE ALCANZAR.;PER I BERSAGLI PIÙ ARDUI DA COLPIRE.;PARA ALVOS DIFÍCEIS DE ALCANÇAR.;ДЛЯ ТЕХ, КОМУ СЛОЖНО ДОСТИЧЬ ЦЕЛЕЙ.;DO WALKI DŁUGODYSTANSOWEJ.;とおくの ターゲットへ つるぎを なげる;손이 닿기 어려운 곳에 던지세요.;能用在那些难以触及的目标。;為了難以企及的目標!;
;FAST SHOES;CHAUSSURES VÉLOCES;SCHNELLE SCHUHE;CALZADO RÁPIDO;SCARPE RAPIDE;SAPATO VELOZ;БОТИНКИ СКОРОСТИ;SZYBKIE BUTY;こうそくスニーカー;가속 신발;加速鞋 ;加速鞋;
;HURRY UP IN STYLE.;POUR COURIR AVEC CLASSE.;EILE MIT STYLE.;CORRE DERROCHANDO ESTILO.;SBRIGATI, MA CON STILE.;CORRA COM ESTILO.;СКОРОСТЬ НА СТИЛЕ.;SPIESZ SIĘ Z FASONEM.;いそぐときも スタイリッシュに;스타일 있게 달려보세요.;赶路也时尚。;加速;
;GARDENING GLOVE;GANT DE JARDINAGE;GARTENHANDSCHUH;GUANTE DE JARDINERÍA;GUANTO DA GIARDINIERE;LUVA DE JARDINAGEM;САДОВАЯ ПЕРЧАТКА;RĘKAWICA DRWALA;ガーデニング グローブ;원예 장갑;园艺手套 ;園藝手套;
;HELPS AVOID SPLINTERS#WHEN CUTTING DOWN TREES.;ÉVITE LES ÉCHARDES#LORS DE LA COUPE D'ARBRES.;SCHÜTZT VOR SPLITTERN#BEIM FÄLLEN VON BÄUMEN.;AYUDA A EVITAR ASTILLAS#AL TALAR ÁRBOLES.;PER EVITARE LE SCHEGGE#QUANDO ABBATTI GLI ALBERI.;AJUDA A EVITAR FARPAS#QUANDO VOCÊ CORTA ÁRVORES.;СПАСАЕТ ОТ ЗАНОЗ#ВО ВРЕМЯ РУБКИ ДЕРЕВЬЕВ.;POMAGA UNIKNĄĆ DRZAZG#PODCZAS ŚCINANIA DRZEW.;きを きるときの#スプリンターよけ;나무를 자를 때#가시에 안 다치도록 도와줍니다.;能避免在砍树时被木刺弄伤。;在砍樹時#避免碎片;
;BOATWOOD;BOIS À BATEAU;BOOTSHOLZ;MADERA DE BARCA;LEGNA PER BARCHE;MADEIRA#DE BARCO;ЛОДОЧНАЯ ДРЕВЕСИНА;DREWNO SZKUTNICZE;ボートよう もくざい;보트나무;船木 ;船塢;
;A SPECIAL TYPE OF WOOD#USED TO MAKE BOATS.;UNE VARIÉTÉ PARTICULIÈRE DE BOIS#ADAPTÉE À LA CONSTRUCTION DE BATEAUX.;EINE BESONDERE ART HOLZ#FÜR DEN BOOTSBAU.;UN TIPO ESPECIAL DE MADERA#PARA HACER BARCAS.;UNO SPECIALE TIPO DI LEGNA,#USATO PER COSTRUIRE LE BARCHE.;UM TIPO ESPECIAL DE MADEIRA#PARA FAZER BARCOS.;ОСОБЫЙ ВИД ДРЕВЕСИНЫ#ДЛЯ СТРОИТЕЛЬСТВА ЛОДОК.;SPECJALNY RODZAJ DREWNA#DO WYROBU ŁODZI.;むかしは ボートようだった#とくべつな そざいの もくざい;보트를 만들 때 사용되는#특별한 재질의 나무입니다.;用来造船的特殊木材。;用於造船的＃特殊木材;
;???;???;???;¿?;???;???;???;???;???;???;？？？ ;???;
;CAMERA;APPAREIL PHOTO;KAMERA;CÁMARA;FOTOCAMERA;CÂMERA;КАМЕРА;APARAT;カメラ;카메라;照相机 ;照相機;
;FIND YOUR PICTURE AT:#@;RETROUVE TA PHOTO SUR :#@.;FINDE DEIN BILD HIER:#@;TU FOTO ESTÁ EN:#@;TROVERAI LA TUA FOTO SU:#@;VEJA SUA FOTO EM:#@;ИЩИ СВОЕ ФОТО НА:#@;ZDJĘCIA MOŻESZ ZNALEŹĆ NA STRONIE#@;@で しゃしんを みる;@에서#당신의 사진을 찾아보세요.;在下方位置寻找你的照片：#@;找到自己的圖片:#@;
;BASEMENT KEY;CLEF DE LA CAVE;KELLERSCHLÜSSEL;LLAVE DEL SÓTANO;CHIAVE DELLA CANTINA;CHAVE DO PORÃO;КЛЮЧ ОТ ПОДВАЛА;KLUCZ DO PIWNICY;ちかしつの カギ;지하실 열쇠;地下室钥匙 ;地下室鑰匙;
;OPENS ALL KINDS OF BASEMENTS!;OUVRE TOUTES LES CAVES !;ÖFFNET KELLER ALLER ART!;¡ABRE TODO TIPO DE SÓTANOS!;APRE QUALUNQUE TIPO DI SOTTERRANEO!;ABRE QUALQUER PORÃO!;ОТКРЫВАЕТ ВСЕ ВИДЫ ПОДВАЛОВ!;OTWIERA WSZYSTKIE PIWNICE!;すべての ちかしつを あける;모든 지하실을 열 수 있습니다!;能打开所有种类的地下室！;打開各種地下室!;
;MEGA SWORD;MÉGA ÉPÉE;MEGA-SCHWERT;MEGAESPADA;SUPER SPADA;MEGAESPADA;МЕГАМЕЧ;POTĘŻNY MIECZ;メガソード;궁극의 검;巨剑 ;巨劍;
;FIVE MILLION SWORDS,#CONDENSED INTO ONE.;CINQ MILLIONS D'ÉPÉES,#CONDENSÉES EN UNE SEULE.;FÜNF MILLIONEN SCHWERTER#IN EINES GESCHMOLZEN.;CINCO MILLONES DE ESPADAS#CONDENSADAS EN UNA.;LA FORZA DI 5 MILIONI DI SPADE,#CONCENTRATA IN UNA.;CINCO MILHÕES DE ESPADAS,#FUNDIDAS EM UMA SÓ.;ПЯТЬ МИЛЛИОНОВ МЕЧЕЙ,#СОБРАННЫЕ В ОДИН.;PIĘĆ MILIONÓW MIECZY#SKONDENSOWANYCH W JEDNYM.;500マンぼんの つるぎが#ぎょうしゅくされた すごいつるぎ;5억 개의 검이#하나로 응축돼있습니다.;由五百万支剑浓缩而成。;五百萬支劍,＃變成一把.;
;FIRE EXTINGUISHER;EXTINCTEUR;FEUERLÖSCHER;EXTINTOR;ESTINTORE;EXTINTOR;ОГНЕТУШИТЕЛЬ;GAŚNICA;しょうかき;소화기;灭火器 ;滅火器;
;YOU'D ALMOST FEEL SORRY FOR THE FIRE.;ON AURAIT PRESQUE PITIÉ POUR LE FEU.;DAS FEUER TUT EINEM FAST LEID.;CASI TE DA PENA EL FUEGO.;PROVERAI QUASI PENA PER IL FUOCO.;VOCÊ VAI ATÉ SENTIR PENA DO FOGO.;ТЕБЕ БУДЕТ ПОЧТИ ЖАЛКО ОГОНЬ.;JUŻ PRAWIE WSPÓŁCZUJĘ OGNIOWI.;けむりさえも のこさず けしてしまう;불에게 미안할 정도로 강력합니다.;你差点就对火产生愧疚之情了。;你因著火而感到傷心.;
;BROKEN SWORD;ÉPÉE BRISÉE;KAPUTTES SCHWERT;ESPADA ROTA;SPADA SPEZZATA;ESPADA PARTIDA;СЛОМАННЫЙ МЕЧ;ZŁAMANY MIECZ;こわれた つるぎ;망가진 검;断剑 ;斷劍;
;WOW, THIS IS PRETTY USELESS...;OH, PAS TRÈS TRANCHANTE...;HMM, IRGENDWIE NUTZLOS...;VAYA, TOTALMENTE INÚTIL...;EHM, NON SERVIRÀ A MOLTO...;PARECE BASTANTE INÚTIL...;ВАУ, ОН ДОВОЛЬНО БЕСПОЛЕЗНЫЙ...;WOW, JEST RACZEJ BEZUŻYTECZNY...;もはや つるぎの いみはあるのか…;이런, 완전 쓸모 없겠네요...;哇，这好没用啊……;哇,這可真沒用…;
;;;;;;;;;;;;;
;NONE;RIEN;---;NADA;NIENTE;NADA;НЕТ;BRAK;なし;없음;无;無;
;SWORD;ÉPÉE;SCHWERT;ESPADA;SPADA;ESPADA;МЕЧ;MIECZ;つるぎ;검;剑;劍;
;WATERING CAN;ARROSOIR;GIESSKANNE;REGADERA;ANNAFFIATOIO;REGADOR;ЛЕЙКА;KONEWKA;じょうろ;물뿌리개;洒水壶;水壺;
;CAMERA;APPAREIL PHOTO;KAMERA;CÁMARA;FOTOCAMERA;CÂMERA;КАМЕРА;APARAT;カメラ;카메라;照相机;照相機;
;BONE;OS;KNOCHEN;HUESO;OSSO;OSSO;КОСТЬ;KOŚĆ;ホネ;뼈다귀;骨头;骨頭;
;;;;;;;;;;;;;
;ARROW KEYS;LES TOUCHES DIRECTIONNELLES;PFEILTASTEN;TECLAS CURSOR;TASTI DIREZIONE;TECLAS#DE SETA;КЛАВИШИ СТРЕЛОК;STRZAŁEK;やじるしキー;방향키;方向键;方向鍵;
;USE @ TO WALK;UTILISE @ POUR MARCHER;GEHEN: @;USA @ PARA CAMINAR;USA @ PER CAMMINARE;USE @ PARA ANDAR;ИСПОЛЬЗУЙ @, ЧТОБЫ ИДТИ;ABY IŚĆ, UŻYJ @;@：あるく;@키로 걷기;用 @ 移动;使用 @ 行走;
;PRESS @ TO USE SWORD;APPUIE SUR @ POUR UTILISER L'ÉPÉE;SCHWERT BENUTZEN: @;PULSA @ PARA USAR LA ESPADA;PREMI @ PER USARE LA SPADA;@ PARA USAR A ESPADA;НАЖМИ @, ЧТОБЫ ИСПОЛЬЗОВАТЬ МЕЧ;ABY UŻYĆ MIECZA, NACIŚNIJ @;@：つるぎを つかう;@키로 장비 사용;按 @ 挥剑;按 @ 用劍;
;PRESS @ TO RESTART;APPUIE SUR @ POUR RENAÎTRE;NEUSTARTEN: @;PULSA @ PARA REINICIAR;PREMI @ PER RICOMINCIARE;@ PARA REINICIAR;НАЖМИ @, ЧТОБЫ НАЧАТЬ ЗАНОВО;ABY URUCHOMIĆ OD NOWA, NACIŚNIJ @;@：リスタート;@키로 재시작;按 @ 重开游戏;按 @ 啟動;
;USE @ TO PUSH BOXES;UTILISE @ #POUR DÉPLACER LES CAISSES;KISTEN SCHIEBEN: @;USA @ PARA EMPUJAR CAJAS;USA @ PER SPINGERE LE CASSE;@ PARA MOVER CAIXAS;ИСПОЛЬЗУЙ @, ЧТОБЫ ТОЛКАТЬ ЯЩИКИ;ABY PRZESUWAĆ SKRZYNIE, UŻYJ @;@：ボックスを おす;@키로 상자 밀기;用 @ 推动箱子;按 @ 推盒子;
;HOLD AND RELEASE @ TO THROW SWORD;MAINTIENS @ ENFONCÉE#PUIS RELÂCHE POUR LANCER L'ÉPÉE;SCHWERT WERFEN: @ HALTEN UND LOSLASSEN;MANTÉN Y SUELTA @ PARA LANZAR ESPADAS;TIENI PREM. @ E LASCIA PER LANC. SPADA;SEGURE E SOLTE @ PARA LANÇAR ESPADA;ЗАЖМИ И ОТПУСТИ @, ЧТОБЫ БРОСИТЬ МЕЧ;ABY RZUCIĆ MIECZEM, TRZYMAJ I PUŚĆ @;@をおして はなす：つるぎを なげる;@키를 누르고 있다가 놓아 검 던지기;按住后松开 @ 来投剑;按住然後釋放 @ 擲劍;
;HOLD @ TO START RUNNING;MAINTIENS @ ENFONCÉE#POUR COMMENCER À COURIR;LAUFEN BEGINNEN: @ HALTEN;MANTÉN @ PARA EMPEZAR A CORRER;TIENI PREM. @ PER CORRERE;SEGURE @ PARA CORRER;ЗАЖМИ @, ЧТОБЫ БЕЖАТЬ;ABY ZACZĄĆ BIEC, PRZYTRZYMAJ DOWOLNĄ @;@ ながおし：はしる;@키를 누르고 있으면 달리기;按住 @ 开始跑步;按住 @ 跑步;
;PRESS @ TO CUT TREES;APPUIE SUR @ POUR COUPER UN ARBRE;BÄUME FÄLLEN: @;PULSA @ PARA TALAR ÁRBOLES;PREMI @ PER ABBATTERE GLI ALBERI;@ PARA CORTAR ÁRVORES;НАЖМИ @, ЧТОБЫ РУБИТЬ ДЕРЕВЬЯ;ABY ŚCINAĆ DRZEWA, NACIŚNIJ @;@：きを きる;@키로 나무 자르기;按 @ 砍伐树木;按 @ 砍樹;
;HOLD @ AND AIM TO TAKE A PICTURE;MAINTIENS @ ENFONCÉE ET CADRE#POUR PRENDRE UNE PHOTO;ZIELEN UND BILD MACHEN: @ HALTEN;MANTÉN @ Y APUNTA PARA HACER UNA FOTO;TIENI PREM. @ E MIRA PER FARE UNA FOTO;SEGURE @ E MIRE PARA TIRAR FOTO;ЗАЖМИ @ И ПРИЦЕЛЬСЯ, ЧТОБЫ СНЯТЬ ФОТО;ABY ZROBIĆ ZDJĘCIE,#PRZYTRZYMAJ @ I WYCELUJ;@ながおし：しゃしんを とる;@키를 누르고 있으면 사진촬영 조준;按住 @ 并瞄准来拍照;按住 @ 照相;
;;;;;;;;;;;;;
;NEW HOME SELECTED;TU EMMÉNAGES DANS CETTE MAISON;NEUES ZUHAUSE GEWÄHLT;NUEVA CASA SELECCIONADA;NUOVA CASA SELEZIONATA;NOVO LAR ESCOLHIDO;ВЫБРАН НОВЫЙ ДОМ;WYBRANO NOWY DOM;セーブポイント;새로운 집 선택됨;已选择新家;選擇新家;
;;;;;;;;;;;;;
;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;SENT BACK IN TIME!;及时送回！;及時送回!;
;BOUGHT THE @!;OBJET ACHETÉ : @ !;GEKAUFT: @!;OBJETO COMPRADO: ¡@!;OGGETTO ACQUISTATO: @!;ITEM COMPRADO: @!;ПРЕДМЕТ КУПЛЕН: @!;KUPIONO PRZEDMIOT: @!;@をこうにゅうした;@을(를) 구입였습니다!; 买到了@！;購買物品: @!;
;GOT THE @!;NOUVEL OBJET : @ !;ERHALTEN: @!;OBJETO RECIBIDO: ¡@!;OGGETTO RICEVUTO: @!;ITEM RECEBIDO: @!;ПРЕДМЕТ ПОЛУЧЕН: @!;OTRZYMANO PRZEDMIOT: @!;@をてにいれた;@을(를) 획득하였습니다!; 拿到了@！;接收物品: @!;
;FOUND A HEART!;TU AS GAGNÉ UN NOUVEAU COEUR !;EIN HERZ GEFUNDEN!;¡CORAZÓN ENCONTRADO!;HAI TROVATO UN CUORE!;UM CORAÇÃO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ СЕРДЦЕ!;ZNALEZIONO SERCE!;ハートを みつけた;하트를 발견했습니다!; 找到了1颗心！;發現一顆心!;
;FOUND A COIN!;TU AS TROUVÉ UNE PIÈCE !;EINE MÜNZE GEFUNDEN!;¡MONEDA ENCONTRADA!;HAI TROVATO UNA MONETA!;UMA MOEDA!;У МЕНЯ ТЕПЕРЬ ЕСТЬ МОНЕТА!;ZNALEZIONO MONETĘ!;コインを みつけた;코인을 발견했습니다!; 找到了1枚硬币！;發現一枚硬幣!;
;FOUND A SWORD SHARD!;TU AS TROUVÉ UN FRAGMENT D'ÉPÉE !;TEIL EINES SCHWERTES GEFUNDEN!;¡FRAGMENTO DE ESPADA ENCONTRADO!;HAI TROVATO UN FRAMMENTO DI SPADA!;UM PEDAÇO DE ESPADA!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ОБЛОМОК МЕЧА!;ZNALEZIONO ODŁAMEK MIECZA!;つるぎの かけらを みつけた;검의 파편을 발견했습니다!; 找到了1块剑的碎片！;發現一個劍碎片!;
;FOUND THE DEMO!;TU AS TROUVÉ LA DÉMO !;DEMO GEFUNDEN!;¡DEMO ENCONTRADA!;HAI TROVATO LA DEMO!;A VERSÃO DEMO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ДЕМО-ВЕРСИЯ!;ZNALEZIONO DEMO!;デモばんを みつけた!;데모를 발견했습니다!; 找到了DEMO！;發現DEMO!;
;PRESS @ TO CONTINUE;APPUIE SUR @ POUR CONTINUER;ZUM FORTSETZEN @ DRÜCKEN;PULSA @ PARA CONTINUAR;PREMI @ PER CONTINUARE;@ PARA CONTINUAR;НАЖМИ @, ЧТОБЫ ПРОДОЛЖИТЬ;ABY KONTYNUOWAĆ, NACIŚNIJ @;@：コンティニュー;@키를 눌러 이어하기;按 @ 继续;按 @ 繼續;
;FOUND A TENTACLE!;TU AS TROUVÉ UN TENTACULE !;EIN TENTAKEL GEFUNDEN!;¡TENTÁCULO ENCONTRADO!;HAI TROVATO UN TENTACOLO!;UM TENTÁCULO!;У МЕНЯ ТЕПЕРЬ ЕСТЬ ЩУПАЛЬЦЕ!;ZNALEZIONO MACKĘ!;タコの あしを みつけた;문어 다리를 발견했습니다!; 找到了1根触手！;發現觸手!;
;TIME'S UP!;TEMPS ÉCOULÉ !;KEINE ZEIT MEHR!;¡TIEMPO!;È FINITO IL TEMPO!;TEMPO ESGOTADO!;ВРЕМЯ ВЫШЛО!;KONIEC CZASU!;タイムオーバー;타임 오버!; 时间用完了！;計時結束!;
;YOU DIED!;TU AS FAIT TON TEMPS !;DU BIST TOT!;¡HAS MUERTO!;HAI PERSO!;VOCÊ MORREU!;ТЕБЕ КОНЕЦ!;GINIESZ!;ゲームオーバー;사망했습니다!; 你死了！;你已死亡!;
;PRESS @ TO CONTINUE;APPUIE SUR @ POUR CONTINUER;ZUM FORTSETZEN @ DRÜCKEN;PULSA @ PARA CONTINUAR;PREMI @ PER CONTINUARE;@ PARA CONTINUAR;НАЖМИ @, ЧТОБЫ ПРОДОЛЖИТЬ;ABY KONTYNUOWAĆ, NACIŚNIJ @;@をおして コンティニュー;@키를 눌러 이어하기;按 @ 继续;按 @ 繼續;
;;;;;;;;;;;;;
;ITEMS;OBJETS ;GEGENSTÄNDE;OBJETOS;OGGETTI;ITENS;ПРЕДМЕТЫ;PRZEDMIOTY;アイテム;아이템;道具;物品;
;COINS;PIÈCES ;MÜNZEN;MONEDAS;MONETE;MOEDAS;МОНЕТЫ;MONETY;コイン;코인;硬币;硬幣;
;HEARTS;COEURS ;HERZEN;CORAZONES;CUORI;CORAÇÕES;СЕРДЦА;SERCA;ハート;하트;心数;心;
;RUNS;VIES;RUNDEN;INTENTOS;GIRI;JOGADAS;ЗАБЕГИ;PRÓBY;プレイかいすう;도전;重生轮数;跑;
;AREAS;ZONES ;BEREICHE;ZONAS;ZONE;ÁREAS;ОБЛАСТИ;OBSZARY;エリア;구역;区域;區域;
;???;???;???;¿?;???;???;???;???;???;???;？？？;???;
;TIME;TEMPS;ZEIT;TIEMPO;TEMPO;TEMPO;ВРЕМЯ;CZAS;タイム;시간;时间;時間;
;PRESS PASS;CARTE DE PRESSE;PRESSEAUSWEIS;PASE DE PRENSA;PERMESSO STAMPA;CREDENCIAL;ПРЕСС-КАРТА;PRZEPUSTKA PRASOWA;かんけいしゃパス;언론 기자증;记者证;新聞卡;
;MUST HAVE BELONGED#TO SOMEONE IMPORTANT!;A DÛ APPARTENIR#À UNE VEDETTE DU JOURNALISME !;HAT WOHL JEMAND#WICHTIGEM GEHÖRT!;¡DEBE DE HABER SIDO DE#ALGUIEN IMPORTANTE!;DOVEVA APPARTENERE A#QUALCUNO DI IMPORTANTE!;DEVE TER PERTENCIDO#A ALGUÉM IMPORTANTE!;НАВЕРНЯКА ПРИНАДЛЕЖАЛА#КОМУ-ТО ВАЖНОМУ!;MUSIAŁA NALEŻEĆ#DO KOGOŚ WAŻNEGO!;これで あなたも#VIPの なかまいり!;중요한 누군가의#것이 틀림없습니다!;肯定是哪位重要人物的！;一定屬於#某個重要人物!;
;TURBO INK;ENCRE TURBO;TURBO-TINTE;TINTA TURBO;TURBO-INCHIOSTRO;TINTA TURBO;ТУРБОЧЕРНИЛА;INKAUST TURBO;ターボインク;터보 먹물;涡轮墨水;渦輪墨水;
;A PRICELESS LIQUID USED IN COOKING#AND TO SPEED UP SWORDFIGHTING.;UN LIQUIDE PRÉCIEUX,#APPRÉCIÉ DES CUISINIERS.#ACCÉLÈRE LE MANIEMENT DE L'ÉPÉE.;EINE UNBEZAHLBARE FLÜSSIGKEIT FÜRS#KOCHEN UND DAS BESCHLEUNIGEN#VON SCHWERTKÄMPFEN.;UN VALIOSO LÍQUIDO PARA COCINAR Y#AGILIZAR EL COMBATE CON ESPADA.;UN LIQUIDO INESTIMABILE, PER CUCINARE#E PER ACCELERARE I DUELLI ALLA SPADA.;UM LÍQUIDO INESTIMÁVEL USADO PARA#COZINHAR E ACELERAR O COMBATE.;БЕСЦЕННАЯ ЖИДКОСТЬ ДЛЯ ГОТОВКИ#И ДЛЯ УСКОРЕНИЯ БОЯ НА МЕЧАХ.;BEZCENNY PŁYN STOSOWANY W KUCHNI#ORAZ PRZYSPIESZAJĄCY WALKĘ NA MIECZE.;りょうりや たたかいの スピードアップに#つかえる まほうの えきたいは プライスレス;검을 휘두르는 속도를 높이거나#요리에 사용되는 귀중한 액체;能用来烹饪和提高剑速的无价液体。;用於烹飪的無價液體#並提高揮劍速度.;
;GRINDER;BROYEUR;SCHREDDER;TRITURADORA;TRITATUTTO;TRITURADOR;КОСИЛКА;MŁYNEK;グラインダーの ぶひん;분쇄기;研磨锯;研磨機;
;NO BOX CAN STOP YOU NOW!;AUCUNE CAISSE NE TE RÉSISTERA !;KEINE KISTE KANN DICH#JETZT NOCH STOPPEN!;¡YA NO HAY CAJA CAPAZ DE DETENERTE!;LE CASSE NON SARANNO PIÙ UN OSTACOLO!;NENHUMA CAIXA IRÁ DETER VOCÊ!;ТЕПЕРЬ ТЕБЯ НЕ ОСТАНОВИТ НИ ОДИН ЯЩИК!;TERAZ ŻADNA SKRZYNIA CIĘ NIE ZATRZYMA!;ゆくてを はばむボックスは なにもない;이제 박스도 당신을 막을 수 없습니다.;现在没有箱子能阻挡你了！;沒有任何箱子打不開了！;
;TROPHY;TROPHÉE;TROPHÄE;TROFEO;TROFEO;TROFÉU;ТРОФЕЙ;TROFEUM;トロフィー;트로피;奖杯;獎盃;
;YOU REALLY GAVE IT 110%!;TU T'ES VRAIMENT DONNÉ À 110 % !;WENN MAN WIRKLICH 110% GEGEBEN HAT!;¡HAS DADO EL 110 %!;CI HAI DATO DENTRO AL 110%!;NADA COMO CONSEGUIR 110%!;ТЕПЕРЬ У ТЕБЯ 110%!;KTOŚ DAŁ Z SIEBIE 110%!;110% ちからを だしきった!;아이템을 110% 획득했네요!;为了它你真付出了110%的努力。;你獲得了110%!;
;TESTING;TEST;TESTS;TESTEO;TEST;TESTES;ТЕСТИРОВАНИЕ;TESTY;TESTING;테스팅;测试;測試;
;A GAME BY;UN JEU CRÉÉ PAR;EIN SPIEL VON;UN JUEGO DE;UN GIOCO DI;UM JOGO DE;АВТОРЫ ИГРЫ;PROJEKT GRY;A GAME BY;게임 제작;游戏制作;遊戲開發者;
;CAMERA PROGRAMMING;PROGRAMMATION APPAREIL PHOTO;KAMERA-PROGRAMMIERUNG;PROGRAMACIÓN DE CÁMARA;PROGRAMMAZIONE FOTOCAMERA;PROGRAMAÇÃO DE CÂMERA;ПРОГРАММИРОВАНИЕ КАМЕРЫ;PROGRAMOWANIE APARATU;CAMERA PROGRAMMING;카메라 프로그래밍;照相机程序;照相機編輯;
;VOICE ACTING;DOUBLAGE;MIT DEN STIMMEN VON;ACTORES DE DOBLAJE;DOPPIAGGIO;DUBLAGEM;ОЗВУЧИВАНИЕ;LEKTORZY;VOICE ACTING;목소리 연기;配音;配音;
;SPECIAL THANKS;REMERCIEMENTS PARTICULIERS;BESONDEREN DANK AN;AGRADECIMIENTOS ESPECIALES;RINGRAZIAMENTI SPECIALI;AGRADECIMENTOS#ESPECIAIS;ОСОБАЯ БЛАГОДАРНОСТЬ;SPECJALNE PODZIĘKOWANIA;SPECIAL THANKS;스페셜 땡스;特别感谢;特別感謝;
;THANKS FOR PLAYING!;MERCI D'AVOIR JOUÉ !;DANKE FÜRS SPIELEN!;¡GRACIAS POR JUGAR!;GRAZIE PER AVER GIOCATO!;OBRIGADO POR JOGAR!;СПАСИБО, ЧТО ВЫБРАЛИ НАШУ ИГРУ!;DZIĘKUJEMY ZA GRĘ!;THANKS FOR PLAYING!;플레이해주셔서 감사합니다!;感谢游玩！;感謝使用！;
;PROMOTIONAL ART;GRAPHISMES PROMOTIONNELS;PROMO-GRAFIK;ARTE PROMOCIONAL;GRAFICA PROMOZIONALE;ARTE PROMOCIONAL;ПРОМО-АРТ;GRAFIKA PROMOCYJNA;PROMOTIONAL ART;홍보 아트;宣传画;推廣藝術;
;ITEM FOUND: @!;OBJET TROUVÉ : @ !;GEFUNDEN: @!;OBJETO ENCONTRADO: @;OGGETTO TROVATO: @!;ITEM ACHADO: @!;ПРЕДМЕТ НАЙДЕН: @!;ZNALEZIONO PRZEDMIOT: @!;みつけたアイテム：@;@ 발견!;发现了道具：@！;發現物品: @!;
;FOUND @ HEARTS!;@ COEURS OBTENUS !;@ HERZEN GEFUNDEN!;¡@ CORAZONES ENCONTRADOS!;HAI TROVATO @ CUORI!;ACHOU @ CORAÇÕES!;СЕРДЕЦ НАЙДЕНО: @!;ZNALEZIONO @ SERC(A)!;ハートを@ みつけた;하트를 @개 발견함!;找到了@颗心！;發現 @ 心!;
;FOUND @ COINS;@ PIÈCES TROUVÉES !;@ MÜNZEN GEFUNDEN!;@ MONEDAS ENCONTRADAS;HAI TROVATO @ MONETE!;ACHOU @ MOEDAS;МОНЕТ НАЙДЕНО: @;ZNALEZIONO @ MONET(Y);コインを@ みつけた;코인을 @개 발견함!;找到了@枚硬币;發現 @硬幣;
;LOCALISATION;LOCALISATION;LOKALISIERUNG;LOCALIZACIÓN;LOCALIZZAZIONE;LOCALIZAÇÃO;ЛОКАЛИЗАЦИЯ;LOKALIZACJA;LOCALISATION;현지화;本地化;當地語系化;
;@ COLLECTED;DÉCOUVERTS : @;@ AUFGESAMMELT;@ RECOGIDO;@ RACCOLTI;COLETOU @;@ СОБРАНО;ZEBRANO @;あつめたアイテム：@;@ 수집함;已收集@; @ 收集;
;@ RUNS;@ VIES;@ RUNDEN;@ INTENTOS;@ GIRI;@ JOGADAS;@ ЗАБЕГОВ;@ PRÓB(Y);プレイかいすう：@;@회 도전함;重生了@轮; @ 跑;
;EXPLORING;EN EXPLORATION;ERFORSCHEN;EXPLORANDO;ESPLORAZIONE;EXPLORANDO;ИССЛЕДОВАНИЕ;EKSPLORACJA;たんけん;탐험 중;探索;探索;
